,bath,bhk,building_status,rate_persqft,area _insqft,location,property_type,construction_status,price
397,3,3,1,4499,2512,Bachupally,2,0,113.01
398,3,3,1,4499,2397,Bachupally,3,0,107.84
401,3,3,1,4499,2545,Bachupally,3,0,114.5
402,3,3,1,4888,1800,Bachupally,3,0,87.98
403,3,3,1,4499,2131,Bachupally,3,0,95.87
405,3,3,1,4688,1877,Bachupally,3,0,87.99
406,3,3,0,4773,2514,Bachupally,3,1,119.99
407,3,3,1,4285,1400,Bachupally,1,1,59.99
409,3,3,1,5687,2022,Bachupally,3,1,114.99
410,3,3,1,4654,1375,Bachupally,1,1,63.99
412,3,3,1,4848,1877,Bachupally,3,0,91.0
416,3,3,1,4848,1877,Bachupally,3,0,91.0
418,3,3,1,4384,1300,Bachupally,1,1,56.99
419,3,3,0,4569,1860,Bachupally,0,1,84.98
420,3,3,1,4499,2465,Bachupally,3,0,110.9
421,3,3,1,5274,1877,Bachupally,3,0,98.99
422,3,3,1,4945,1375,Bachupally,1,1,67.99
423,3,3,1,4499,2131,Bachupally,0,0,95.87
424,3,3,1,5274,1877,Bachupally,3,0,98.99
426,3,3,1,4504,2131,Bachupally,3,0,95.98
427,3,3,1,5274,1877,Bachupally,3,0,98.99
428,3,3,1,4509,1375,Bachupally,1,1,62.0
429,3,3,1,4486,2006,Bachupally,3,0,89.99
430,3,3,1,4722,1800,Bachupally,3,0,85.0
431,3,3,1,4509,1375,Bachupally,1,1,62.0
432,3,3,1,4509,1375,Bachupally,3,1,62.0
433,3,3,1,4550,1868,Bachupally,0,1,84.99
434,3,3,1,4557,1865,Bachupally,0,1,84.99
436,3,3,1,4499,2990,Bachupally,3,0,134.52
437,3,3,0,4773,2514,Bachupally,3,1,119.99
438,3,3,1,4773,2514,Bachupally,3,0,119.99
439,3,3,1,4499,2990,Bachupally,0,0,134.52
440,3,3,1,4550,1868,Bachupally,0,1,84.99
441,3,3,1,4499,2536,Bachupally,3,0,114.09
442,3,3,1,4499,2131,Bachupally,3,1,95.87
443,3,3,1,5000,1340,Bachupally,1,1,67.0
444,3,3,1,4688,1877,Bachupally,3,0,87.99
445,3,3,1,4773,2514,Bachupally,3,0,119.99
446,3,3,1,4618,1299,Bachupally,1,1,59.99
447,3,3,1,4499,2397,Bachupally,0,0,107.84
448,3,3,0,4486,2006,Bachupally,3,0,89.99
449,3,3,1,4550,1868,Bachupally,0,1,84.99
450,3,3,1,4499,2464,Bachupally,0,0,110.86
452,2,3,1,4509,1375,Bachupally,1,1,62.0
453,2,3,1,4509,1375,Bachupally,1,1,62.0
454,3,3,1,4509,1375,Bachupally,1,1,62.0
455,3,3,1,5000,1800,Bachupally,3,0,90.0
456,3,3,1,4499,2305,Bachupally,0,0,103.7
457,3,3,1,4499,2131,Bachupally,0,0,95.87
458,2,3,0,4509,1375,Bachupally,1,1,62.0
459,3,3,1,5499,2091,Bachupally,3,0,114.98
460,2,3,0,4486,2006,Bachupally,3,0,89.99
462,3,3,1,4688,1877,Bachupally,3,0,87.99
463,3,3,1,4444,1800,Bachupally,3,0,79.99
464,3,3,1,5000,1800,Bachupally,3,0,90.0
465,3,3,1,4888,1800,Bachupally,3,0,87.98
467,3,3,1,4444,1800,Bachupally,3,0,79.99
468,3,3,1,4722,1800,Bachupally,3,0,85.0
470,3,3,1,4166,1800,Bachupally,3,0,74.99
471,3,3,1,4777,1800,Bachupally,3,0,85.99
473,2,3,0,4888,1800,Bachupally,3,0,87.98
474,3,3,1,4550,1868,Bachupally,0,1,84.99
476,3,3,1,4166,1800,Bachupally,3,0,74.99
477,3,3,0,4722,1800,Bachupally,3,0,85.0
478,3,3,1,4499,2324,Bachupally,0,0,104.56
479,3,3,1,4386,2006,Bachupally,3,0,87.98
480,3,3,1,4499,2512,Bachupally,0,0,113.01
481,3,3,1,4594,1850,Bachupally,0,1,84.99
482,3,3,0,6498,2293,Bachupally,3,1,149.0
484,3,3,1,4722,1800,Bachupally,3,0,85.0
485,3,3,1,4722,1800,Bachupally,3,0,85.0
486,3,3,1,4499,2464,Bachupally,3,0,110.86
487,3,3,1,4722,1800,Bachupally,3,0,85.0
488,3,3,1,4246,1460,Bachupally,1,1,61.99
489,3,3,1,4833,1800,Bachupally,3,0,86.99
490,3,3,1,4888,1800,Bachupally,3,0,87.98
491,3,3,0,5980,2090,Bachupally,3,0,124.98
492,3,3,1,4386,2006,Bachupally,3,0,87.98
494,3,3,1,4285,1400,Bachupally,1,1,59.99
496,3,3,0,4550,1868,Bachupally,0,1,84.99
497,3,3,1,4773,2514,Bachupally,3,0,119.99
498,4,4,0,5416,3600,Bachupally,3,1,194.98
499,4,4,1,6285,2466,Bachupally,3,0,154.99
500,4,4,0,6006,2997,Bachupally,3,1,180.0
501,2,4,1,4751,2315,Bachupally,3,0,109.99
502,6,6,1,3428,3500,Bachupally,0,1,119.98
503,1,1,1,3333,660,Bachupally Road,1,0,22.0
504,2,2,1,3440,1250,Bachupally Road,1,1,43.0
505,2,2,1,3600,1155,Bachupally Road,1,0,41.58
506,2,2,1,3600,1175,Bachupally Road,1,0,42.3
507,2,2,1,3596,1156,Bachupally Road,1,0,41.57
508,2,2,1,3600,1155,Bachupally Road,1,0,41.58
509,2,2,1,3600,1120,Bachupally Road,1,0,40.32
510,2,2,1,3600,1120,Bachupally Road,1,0,40.32
511,2,2,1,3129,1278,Bachupally Road,1,1,39.99
512,2,2,1,3800,1250,Bachupally Road,1,1,47.5
513,2,2,1,3139,1274,Bachupally Road,1,1,39.99
514,2,2,1,3596,1156,Bachupally Road,1,0,41.57
515,2,2,1,3600,1175,Bachupally Road,1,0,42.3
516,2,2,1,3600,1155,Bachupally Road,1,0,41.58
517,2,2,1,3450,1075,Bachupally Road,1,1,37.09
518,2,2,1,3600,1155,Bachupally Road,1,0,41.58
519,2,2,1,3866,1200,Bachupally Road,1,1,46.39
520,2,2,1,3596,1156,Bachupally Road,1,0,41.57
521,2,2,1,3603,1154,Bachupally Road,1,0,41.58
522,2,2,1,3603,1174,Bachupally Road,1,0,42.3
523,2,2,1,3596,1176,Bachupally Road,1,0,42.29
524,2,2,1,3584,1160,Bachupally Road,1,0,41.57
525,2,2,1,3454,1100,Bachupally Road,1,0,37.99
526,2,2,1,3596,1176,Bachupally Road,1,0,42.29
527,2,2,1,3571,1120,Bachupally Road,1,0,40.0
528,3,3,1,4550,1868,Bachupally Road,0,1,84.99
529,3,3,1,4557,1865,Bachupally Road,0,1,84.99
530,3,3,1,4499,2131,Bachupally Road,3,0,95.87
531,3,3,1,4499,2305,Bachupally Road,3,0,103.7
532,3,3,1,4499,2131,Bachupally Road,3,0,95.87
533,3,3,1,4499,2536,Bachupally Road,3,0,114.09
534,3,3,1,4166,1800,Bachupally Road,3,0,74.99
535,3,3,1,4550,1868,Bachupally Road,0,1,84.99
536,3,3,1,4569,1860,Bachupally Road,0,1,84.98
539,2,2,1,3600,1250,Bachupaly Road Miyapur,1,1,45.0
540,2,2,1,3600,1175,Bachupaly Road Miyapur,1,0,42.3
541,2,2,1,3690,1050,Bachupaly Road Miyapur,1,1,38.74
542,2,2,1,3600,1240,Bachupaly Road Miyapur,1,1,44.64
543,2,1,0,4667,1457,Badangpet,0,1,68.0
544,2,2,1,2315,1140,Badangpet,1,1,26.39
545,3,2,1,4115,1458,Badangpet,0,1,60.0
546,3,2,0,5000,1300,Badangpet,0,1,65.0
547,2,2,0,4545,1100,Badangpet,0,1,50.0
548,2,2,0,5181,1100,Badangpet,0,1,56.99
549,2,2,0,5625,800,Badangpet,0,1,45.0
550,3,2,0,5652,1150,Badangpet,0,1,65.0
551,2,2,0,5333,1500,Badangpet,0,1,80.0
552,2,2,0,4631,950,Badangpet,0,1,43.99
553,2,2,1,2192,1140,Badangpet,1,0,24.99
554,2,2,0,4667,1457,Badangpet,0,1,68.0
555,3,2,0,5652,1150,Badangpet,0,1,65.0
560,10,10,0,2800,5000,Badangpet,0,1,140.0
561,1,1,0,4666,600,Gachibowli,1,1,28.0
562,2,1,0,6240,1314,Gachibowli,1,1,81.99
564,2,2,1,4700,1122,Gachibowli,1,1,52.73
565,2,2,1,6827,1245,Gachibowli,1,0,85.0
566,2,2,1,5183,1254,Gachibowli,1,0,64.99
567,2,2,1,6586,1245,Gachibowli,1,0,82.0
568,2,2,1,4803,1270,Gachibowli,1,0,61.0
569,2,2,1,5853,1283,Gachibowli,1,0,75.09
570,2,2,1,6344,1428,Gachibowli,1,1,90.59
